SR. NO.,Tehsil,Qanoongoi,Mauza,Classification,Location,Square No,Killa No,Khasra No,DC Rate,Unit,Structure Rate
23969,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Residential,Link Road,15-18,12-14;17-21;2-4;7-9,,44580,Marla,780
23970,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Residential,Link Road,16-18,22-23,,44580,Marla,780
23971,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Residential,Link Road,50-54,11-25;2-8,,44580,Marla,780
23972,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Residential,Link Road,16-26,24-25,,44580,Marla,780
23973,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Residential,Link Road,32-33;40-41;60-63,25-Jan,,44580,Marla,780
23974,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Residential,Link Road,20-26,7;14;17;23,,44580,Marla,780
23975,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Residential,Link Road,20-22;24-27,9;2-3,,44580,Marla,780
23976,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Residential,Off Road,1,25/2,,46118,Marla,780
23977,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Residential,Off Road,14,27-28,,46118,Marla,780
23978,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Residential,Off Road,2,21,,46118,Marla,780
23979,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Residential,Off Road,28,26;9/1;9/2;10-12;19-22,,46118,Marla,780
23980,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Residential,Off Road,29,1-Feb,,46118,Marla,780
23981,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Residential,Off Road,4,1-3;19-21;8-12,,46118,Marla,780
23982,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Residential,Off Road,48,8-Jul,,46118,Marla,780
23983,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Residential,Off Road,49,2-Jan,,46118,Marla,780
23984,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Residential,Off Road,53,10,,86088,Marla,780
23985,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Residential,Off Road,55,1-7;10-12;19-23,,46118,Marla,780
23986,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Residential,Off Road,67,3-Jan,,86088,Marla,780
23987,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Residential,Off Road,68,17-Oct,,46118,Marla,780
23988,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Residential,Off Road,69,6,,46118,Marla,780
23989,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Residential,Off Road,72,1-3;6-25,,46118,Marla,780
23990,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Residential,Off Road,47-48,13,,46118,Marla,780
23991,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Residential,Off Road,4-Jan,24,,46118,Marla,780
23992,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Residential,Off Road,30;35;43;65;1-2;46-48,26,,46118,Marla,780
23993,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Residential,Off Road,34-39,5,,46118,Marla,780
23994,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Residential,Off Road,38-39,1-4;6-25,,46118,Marla,780
23995,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Residential,Off Road,69-70,3-Jan,,46118,Marla,780
23996,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Residential,Off Road,34-36,4;16;25;6-7,,46118,Marla,780
23997,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Residential,Off Road,34-35,1-3;17-24;8-15,,46118,Marla,780
23998,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Residential,Off Road,30-31,25-Jan,,46118,Marla,780
23999,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Residential,Off Road,47-49,11-12;16-20;23-25,,46118,Marla,780
24000,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Residential,Off Road,4-Mar,13-18;4-7,,46118,Marla,780
24001,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Residential,Off Road,64-66,5-Jan,,46118,Marla,780
24002,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Residential,Off Road,28-29,1/2;2/2,,46118,Marla,780
24003,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Residential,Off Road,11-14;7-8,26;1-5,,46118,Marla,780
24004,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Residential,Off Road,57-59,6-Apr,,46118,Marla,780
24005,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Residential,Off Road,58-59,1-3;7-25,,46118,Marla,780
24006,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Residential,Off Road,48-49,14-15;9-10,,46118,Marla,780
24007,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Residential,Off Road,42-44,13-18;23-25;3-8,,46118,Marla,780
24008,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Residential,Off Road,42-45,1-2;19-20;9-12,,46118,Marla,780
24009,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Residential,Off Road,55-56,13-18;24-26;8-9,,46118,Marla,780
24010,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Residential,Off Road,69-72,5-Apr,,46118,Marla,780
24011,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Residential,Off Road,42-49,21-22,,46118,Marla,780
24012,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Residential,Off Road,64-65;7-14,25-Jun,,46118,Marla,780
24013,Depal Pur,Pipli Pahar,Nawan Kot Jageer,Residential,Off Road,4-Feb,25;22-23,,46118,Marla,780
24014,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Link Road,10,14/2;15/2;16-19;20/2,,3077380,Acre,510
24015,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Link Road,11,21/1;22/2;23-24,,3077380,Acre,510
24016,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Link Road,19,19,,3077380,Acre,510
24017,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Link Road,20,17,,2674527,Acre,470
24018,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Link Road,21,18,,2674527,Acre,470
24019,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Link Road,21,19;14/2;15/3,,3077380,Acre,510
24020,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Link Road,22,12,,2674527,Acre,470
24021,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Link Road,22,11-12;7/2;8/2,,3077380,Acre,510
24022,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Link Road,23,7;10,,2674527,Acre,470
24023,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Link Road,23,5;2/2;3/2;4/2,,3077380,Acre,510
24024,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Link Road,24,1,,3077380,Acre,510
24025,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Link Road,25,15,,2674527,Acre,470
24026,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Link Road,25,5;6/1;6/2;15-16,,3077380,Acre,510
24027,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Link Road,26,1/1;1/2,,3077380,Acre,510
24028,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Link Road,31,1,,2674527,Acre,470
24029,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Link Road,31,1;10/2;20/1,,3077380,Acre,510
24030,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Link Road,32,6,,2674527,Acre,470
24031,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Link Road,32,6;15/1;15/2;16/1;5/1;5/2,,3077380,Acre,510
24032,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Link Road,47,6;25,,2674527,Acre,470
24033,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Link Road,47,6;25;5/2;15/2,,3077380,Acre,510
24034,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Link Road,48,1;11;20-21,,3077380,Acre,510
24035,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Link Road,53,1;10-11,,3077380,Acre,510
24036,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Link Road,54,5;15,,2674527,Acre,470
24037,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Link Road,54,15;5-6,,3077380,Acre,510
24038,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Link Road,8,2/2;9-10,,3077380,Acre,510
24039,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Link Road,9,6;7/1;8/2;11-12;20-21,,3077380,Acre,510
24040,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Link Road,48;53,11,,2674527,Acre,470
24041,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Link Road,20-21,20,,2674527,Acre,470
24042,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Link Road,11-Oct,25,,3077380,Acre,510
24043,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Link Road,19-20,16-17,,3077380,Acre,510
24044,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Link Road,19-21,18;20,,3077380,Acre,510
24045,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Off Road,10,21,,2674527,Acre,470
24046,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Off Road,20,18,,2674527,Acre,470
24047,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Off Road,20,19,,3077380,Acre,510
24048,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Off Road,23,10-Jul,,3077380,Acre,510
24049,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Off Road,25,25,,3077380,Acre,510
24050,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Off Road,31,11,,3077380,Acre,510
24051,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Off Road,48,10,,3077380,Acre,510
24052,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Off Road,53,20,,3077380,Acre,510
24053,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Off Road,1-30;32-91,1,,2674527,Acre,470
24054,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Off Road,22-Sep,10,,2674527,Acre,470
24055,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Off Road,10-47;49-52;54-91,11,,2674527,Acre,470
24056,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Off Road,10-21;23-91,12,,2674527,Acre,470
24057,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Off Road,Nov-91,14,,2674527,Acre,470
24058,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Off Road,11-24;26-53,15,,2674527,Acre,470
24059,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Off Road,18;47,16,,3077380,Acre,510
24060,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Off Road,21-91,17,,2674527,Acre,470
24061,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Off Road,Dec-46,25,,2674527,Acre,470
24062,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Off Road,Jan-53,5,,2674527,Acre,470
24063,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Off Road,10-31;33-46,6,,2674527,Acre,470
24064,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Off Road,22-23,6,,3077380,Acre,510
24065,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Off Road,22-Oct,7,,2674527,Acre,470
24066,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Off Road,Oct-91,8,,2674527,Acre,470
24067,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Off Road,20-91,16;19,,2674527,Acre,470
24068,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Off Road,Dec-91,21-24,,2674527,Acre,470
24069,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Off Road,24-91,7;10,,2674527,Acre,470
24070,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Off Road,9-Jan,14-19;24-25,,2674527,Acre,470
24071,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Off Road,7-Jan,2;9-10,,2674527,Acre,470
24072,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Off Road,8-Jan,11-12;20-21;6-8,,2674527,Acre,470
24073,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Off Road,18-Nov,16-20,,2674527,Acre,470
24074,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Off Road,22-91,18;20,,2674527,Acre,470
24075,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Off Road,55-91,5;15,,2674527,Acre,470
24076,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Off Road,Jan-91,13;3-4,,2674527,Acre,470
24077,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Off Road,Sep-91,2;9,,2674527,Acre,470
24078,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Off Road,48-91,6;25,,2674527,Acre,470
24079,Depal Pur,Pipli Pahar,Nehran Wala,Agricultural,Off Road,10-Jan,22-23,,2674527,Acre,470
24080,Depal Pur,Pipli Pahar,Nehran Wala,Residential,Link Road,10,14/2;15/2;16-19;20/2,,39072,Marla,780
24081,Depal Pur,Pipli Pahar,Nehran Wala,Residential,Link Road,11,21/1;22/2;23-24,,39072,Marla,780
24082,Depal Pur,Pipli Pahar,Nehran Wala,Residential,Link Road,19,19,,39072,Marla,780
24083,Depal Pur,Pipli Pahar,Nehran Wala,Residential,Link Road,20,16-17,,37117,Marla,780
24084,Depal Pur,Pipli Pahar,Nehran Wala,Residential,Link Road,21,14/2;15/3,,39072,Marla,780
24085,Depal Pur,Pipli Pahar,Nehran Wala,Residential,Link Road,22,12;7/2;8/2,,39072,Marla,780
24086,Depal Pur,Pipli Pahar,Nehran Wala,Residential,Link Road,23,5,,37117,Marla,780
24087,Depal Pur,Pipli Pahar,Nehran Wala,Residential,Link Road,23,10;2/2;3/2;4/2,,39072,Marla,780
24088,Depal Pur,Pipli Pahar,Nehran Wala,Residential,Link Road,25,15-16;6/1;6/2,,39072,Marla,780
24089,Depal Pur,Pipli Pahar,Nehran Wala,Residential,Link Road,26,1/1;1/2,,39072,Marla,780
24090,Depal Pur,Pipli Pahar,Nehran Wala,Residential,Link Road,31,1;10/2;20/1,,39072,Marla,780
24091,Depal Pur,Pipli Pahar,Nehran Wala,Residential,Link Road,32,6,,37117,Marla,780
24092,Depal Pur,Pipli Pahar,Nehran Wala,Residential,Link Road,32,6;15/1;15/2;16/1;5/1;5/2,,39072,Marla,780
24093,Depal Pur,Pipli Pahar,Nehran Wala,Residential,Link Road,47,6;25;5/2;15/2,,39072,Marla,780
24094,Depal Pur,Pipli Pahar,Nehran Wala,Residential,Link Road,48,11,,37117,Marla,780
24095,Depal Pur,Pipli Pahar,Nehran Wala,Residential,Link Road,48,11;21,,39072,Marla,780
24096,Depal Pur,Pipli Pahar,Nehran Wala,Residential,Link Road,53,11,,39072,Marla,780
24097,Depal Pur,Pipli Pahar,Nehran Wala,Residential,Link Road,54,15;5-6,,39072,Marla,780
24098,Depal Pur,Pipli Pahar,Nehran Wala,Residential,Link Road,8,2/2;9-10,,39072,Marla,780
24099,Depal Pur,Pipli Pahar,Nehran Wala,Residential,Link Road,9,6;7/1;8/2;11-12;20-21,,39072,Marla,780
24100,Depal Pur,Pipli Pahar,Nehran Wala,Residential,Link Road,18-20,16,,39072,Marla,780
24101,Depal Pur,Pipli Pahar,Nehran Wala,Residential,Link Road,19-20,17,,39072,Marla,780
24102,Depal Pur,Pipli Pahar,Nehran Wala,Residential,Link Road,11-Oct,25,,39072,Marla,780
24103,Depal Pur,Pipli Pahar,Nehran Wala,Residential,Link Road,19-21,18;20,,39072,Marla,780
24104,Depal Pur,Pipli Pahar,Nehran Wala,Residential,Off Road,10,21,,37117,Marla,780
24105,Depal Pur,Pipli Pahar,Nehran Wala,Residential,Off Road,23,5;7-9,,39072,Marla,780
24106,Depal Pur,Pipli Pahar,Nehran Wala,Residential,Off Road,24,1,,39072,Marla,780
24107,Depal Pur,Pipli Pahar,Nehran Wala,Residential,Off Road,25,18,,40420,Marla,780
24108,Depal Pur,Pipli Pahar,Nehran Wala,Residential,Off Road,25,25,,39072,Marla,780
24109,Depal Pur,Pipli Pahar,Nehran Wala,Residential,Off Road,25,6-May,,71410,Marla,780
24110,Depal Pur,Pipli Pahar,Nehran Wala,Residential,Off Road,47,16,,39072,Marla,780
24111,Depal Pur,Pipli Pahar,Nehran Wala,Residential,Off Road,10-47;49-91,11,,37117,Marla,780
24112,Depal Pur,Pipli Pahar,Nehran Wala,Residential,Off Road,22;31,11,,39072,Marla,780
24113,Depal Pur,Pipli Pahar,Nehran Wala,Residential,Off Road,20-24,18,,37117,Marla,780
24114,Depal Pur,Pipli Pahar,Nehran Wala,Residential,Off Road,20-21,19,,39072,Marla,780
24115,Depal Pur,Pipli Pahar,Nehran Wala,Residential,Off Road,24;1-22,5,,37117,Marla,780
24116,Depal Pur,Pipli Pahar,Nehran Wala,Residential,Off Road,22-23,6,,39072,Marla,780
24117,Depal Pur,Pipli Pahar,Nehran Wala,Residential,Off Road,10-24;26-31;33-91,6,,37117,Marla,780
24118,Depal Pur,Pipli Pahar,Nehran Wala,Residential,Off Road,1-7;9-91,2;9-10,,37117,Marla,780
24119,Depal Pur,Pipli Pahar,Nehran Wala,Residential,Off Road,Oct-91,12;7-8,,37117,Marla,780
24120,Depal Pur,Pipli Pahar,Nehran Wala,Residential,Off Road,21-91,16-17,,37117,Marla,780
24121,Depal Pur,Pipli Pahar,Nehran Wala,Residential,Off Road,Nov-91,14-15,,37117,Marla,780
24122,Depal Pur,Pipli Pahar,Nehran Wala,Residential,Off Road,Dec-91,21-25,,37117,Marla,780
24123,Depal Pur,Pipli Pahar,Nehran Wala,Residential,Off Road,48;53,1;10;20,,39072,Marla,780
24124,Depal Pur,Pipli Pahar,Nehran Wala,Residential,Off Road,18-Nov,16-20,,37117,Marla,780
24125,Depal Pur,Pipli Pahar,Nehran Wala,Residential,Off Road,20-91,19-20,,37117,Marla,780
24126,Depal Pur,Pipli Pahar,Nehran Wala,Residential,Off Road,10-Jan,22-23,,37117,Marla,780
24127,Depal Pur,Pipli Pahar,Nehran Wala,Residential,Off Road,Jan-91,1;13;3-4,,37117,Marla,780
24128,Depal Pur,Pipli Pahar,Nehran Wala,Residential,Off Road,26-91,5;18,,37117,Marla,780
24129,Depal Pur,Pipli Pahar,Nehran Wala,Residential,Off Road,8-Jan,11-12;20-21;6-8,,37117,Marla,780
24130,Depal Pur,Pipli Pahar,Nehran Wala,Residential,Off Road,9-Jan,14-19;24-25,,37117,Marla,780
24131,Depal Pur,Pipli Pahar,Odanwali,Agricultural,Link Road,1,25,,2461077,Acre,470
24132,Depal Pur,Pipli Pahar,Odanwali,Agricultural,Link Road,1,6;15;25,,3132026,Acre,510
24133,Depal Pur,Pipli Pahar,Odanwali,Agricultural,Link Road,12,1-2;17-18,,3132026,Acre,510
24134,Depal Pur,Pipli Pahar,Odanwali,Agricultural,Link Road,13,21,,3132026,Acre,510
24135,Depal Pur,Pipli Pahar,Odanwali,Agricultural,Link Road,14,22-24,,2461077,Acre,470
24136,Depal Pur,Pipli Pahar,Odanwali,Agricultural,Link Road,15,2;9;12;19,,3132026,Acre,510
24137,Depal Pur,Pipli Pahar,Odanwali,Agricultural,Link Road,16,1;10,,3132026,Acre,510
24138,Depal Pur,Pipli Pahar,Odanwali,Agricultural,Link Road,17,6;25;15-16,,2461077,Acre,470
24139,Depal Pur,Pipli Pahar,Odanwali,Agricultural,Link Road,17,6;25;15-16,,3132026,Acre,510
24140,Depal Pur,Pipli Pahar,Odanwali,Agricultural,Link Road,26,14;16-17;5-6,,2461077,Acre,470
24141,Depal Pur,Pipli Pahar,Odanwali,Agricultural,Link Road,26,14-17;5-6,,3132026,Acre,510
24142,Depal Pur,Pipli Pahar,Odanwali,Agricultural,Link Road,29,15;17-18;4-7,,2461077,Acre,470
24143,Depal Pur,Pipli Pahar,Odanwali,Agricultural,Link Road,29,14-15;17-18;4-7,,3132026,Acre,510
24144,Depal Pur,Pipli Pahar,Odanwali,Agricultural,Link Road,7,1;10-11;20-22,,3132026,Acre,510
24145,Depal Pur,Pipli Pahar,Odanwali,Agricultural,Link Road,8,25;5-6;15-16,,3132026,Acre,510
24146,Depal Pur,Pipli Pahar,Odanwali,Agricultural,Link Road,13-14,22,,3132026,Acre,510
24147,Depal Pur,Pipli Pahar,Odanwali,Agricultural,Link Road,2;15-16,11;20-21,,3132026,Acre,510
24148,Depal Pur,Pipli Pahar,Odanwali,Agricultural,Link Road,14-Dec,23-25,,3132026,Acre,510
24149,Depal Pur,Pipli Pahar,Odanwali,Agricultural,Off Road,1,16,,3132026,Acre,510
24150,Depal Pur,Pipli Pahar,Odanwali,Agricultural,Off Road,14,21,,2461077,Acre,470
24151,Depal Pur,Pipli Pahar,Odanwali,Agricultural,Off Road,14,21,,3132026,Acre,510
24152,Depal Pur,Pipli Pahar,Odanwali,Agricultural,Off Road,15,22,,2461077,Acre,470
24153,Depal Pur,Pipli Pahar,Odanwali,Agricultural,Off Road,18-28,15,,2461077,Acre,470
24154,Depal Pur,Pipli Pahar,Odanwali,Agricultural,Off Road,15-Sep,16,,2461077,Acre,470
24155,Depal Pur,Pipli Pahar,Odanwali,Agricultural,Off Road,17-28,18,,2461077,Acre,470
24156,Depal Pur,Pipli Pahar,Odanwali,Agricultural,Off Road,14-Jan,19,,2461077,Acre,470
24157,Depal Pur,Pipli Pahar,Odanwali,Agricultural,Off Road,14-Aug,20,,2461077,Acre,470
24158,Depal Pur,Pipli Pahar,Odanwali,Agricultural,Off Road,14-16;18-37,25,,2461077,Acre,470
24159,Depal Pur,Pipli Pahar,Odanwali,Agricultural,Off Road,Jan-37,3,,2461077,Acre,470
24160,Depal Pur,Pipli Pahar,Odanwali,Agricultural,Off Road,1-7;13-25,5,,2461077,Acre,470
24161,Depal Pur,Pipli Pahar,Odanwali,Agricultural,Off Road,13-16,6,,2461077,Acre,470
24162,Depal Pur,Pipli Pahar,Odanwali,Agricultural,Off Road,17-37,1;10-11;20-22,,2461077,Acre,470
24163,Depal Pur,Pipli Pahar,Odanwali,Agricultural,Off Road,13-37,8;13,,2461077,Acre,470
24164,Depal Pur,Pipli Pahar,Odanwali,Agricultural,Off Road,13-15,1;10;14-15;17-18,,2461077,Acre,470
24165,Depal Pur,Pipli Pahar,Odanwali,Agricultural,Off Road,17-25,14;17,,2461077,Acre,470
24166,Depal Pur,Pipli Pahar,Odanwali,Agricultural,Off Road,6-Jan,1;10;22;14-18,,2461077,Acre,470
24167,Depal Pur,Pipli Pahar,Odanwali,Agricultural,Off Road,11-Aug,1;14;17-18;10-11,,2461077,Acre,470
24168,Depal Pur,Pipli Pahar,Odanwali,Agricultural,Off Road,27-37,14;16,,2461077,Acre,470
24169,Depal Pur,Pipli Pahar,Odanwali,Agricultural,Off Road,18-25,6;16,,2461077,Acre,470
24170,Depal Pur,Pipli Pahar,Odanwali,Agricultural,Off Road,13-28,4;7,,2461077,Acre,470
24171,Depal Pur,Pipli Pahar,Odanwali,Agricultural,Off Road,1;3-6,11;20-21,,2461077,Acre,470
24172,Depal Pur,Pipli Pahar,Odanwali,Agricultural,Off Road,13-14,2;9;11-12,,2461077,Acre,470
24173,Depal Pur,Pipli Pahar,Odanwali,Agricultural,Off Road,11-Sep,15;25;5-6,,2461077,Acre,470
24174,Depal Pur,Pipli Pahar,Odanwali,Agricultural,Off Road,15-37,23-24,,2461077,Acre,470
24175,Depal Pur,Pipli Pahar,Odanwali,Agricultural,Off Road,11-Jan,2;4;7-9;23-24;12-13,,2461077,Acre,470
24176,Depal Pur,Pipli Pahar,Odanwali,Agricultural,Off Road,27-28,17;5-6,,2461077,Acre,470
24177,Depal Pur,Pipli Pahar,Odanwali,Agricultural,Off Road,12-Aug,21-22,,2461077,Acre,470
24178,Depal Pur,Pipli Pahar,Odanwali,Agricultural,Off Road,7-Feb,6;25,,2461077,Acre,470
24179,Depal Pur,Pipli Pahar,Odanwali,Agricultural,Off Road,16-37,2;9;12;19,,2461077,Acre,470
24180,Depal Pur,Pipli Pahar,Odanwali,Agricultural,Off Road,30-37,15;17-18;4-7,,2461077,Acre,470
24181,Depal Pur,Pipli Pahar,Odanwali,Residential,Link Road,1,25,,38587,Marla,780
24182,Depal Pur,Pipli Pahar,Odanwali,Residential,Link Road,1,6;16;25,,39219,Marla,780
24183,Depal Pur,Pipli Pahar,Odanwali,Residential,Link Road,12,1-2;17-18,,39219,Marla,780
24184,Depal Pur,Pipli Pahar,Odanwali,Residential,Link Road,14,22-23,,38587,Marla,780
24185,Depal Pur,Pipli Pahar,Odanwali,Residential,Link Road,15,2;9;12;19,,39219,Marla,780
24186,Depal Pur,Pipli Pahar,Odanwali,Residential,Link Road,16,1;10,,39219,Marla,780
24187,Depal Pur,Pipli Pahar,Odanwali,Residential,Link Road,17,6;25;15-16,,39219,Marla,780
24188,Depal Pur,Pipli Pahar,Odanwali,Residential,Link Road,17,6;16;25,,38587,Marla,780
24189,Depal Pur,Pipli Pahar,Odanwali,Residential,Link Road,2,11;20-21,,39219,Marla,780
24190,Depal Pur,Pipli Pahar,Odanwali,Residential,Link Road,26,16,,38587,Marla,780
24191,Depal Pur,Pipli Pahar,Odanwali,Residential,Link Road,26,5;17,,39219,Marla,780
24192,Depal Pur,Pipli Pahar,Odanwali,Residential,Link Road,26,6;14,,74238,Marla,780
24193,Depal Pur,Pipli Pahar,Odanwali,Residential,Link Road,29,15;18,,39219,Marla,780
24194,Depal Pur,Pipli Pahar,Odanwali,Residential,Link Road,29,7-Apr,,74238,Marla,780
24195,Depal Pur,Pipli Pahar,Odanwali,Residential,Link Road,7,1;10-11;20-22,,39219,Marla,780
24196,Depal Pur,Pipli Pahar,Odanwali,Residential,Link Road,8,25;5-6;15-16,,39219,Marla,780
24197,Depal Pur,Pipli Pahar,Odanwali,Residential,Link Road,13-16,21,,39219,Marla,780
24198,Depal Pur,Pipli Pahar,Odanwali,Residential,Link Road,13-14,22,,39219,Marla,780
24199,Depal Pur,Pipli Pahar,Odanwali,Residential,Link Road,15-16,11;20,,39219,Marla,780
24200,Depal Pur,Pipli Pahar,Odanwali,Residential,Link Road,14-Dec,23-25,,39219,Marla,780
24201,Depal Pur,Pipli Pahar,Odanwali,Residential,Off Road,1,15,,39219,Marla,780
24202,Depal Pur,Pipli Pahar,Odanwali,Residential,Off Road,14,21,,38587,Marla,780
24203,Depal Pur,Pipli Pahar,Odanwali,Residential,Off Road,15,22,,38587,Marla,780
24204,Depal Pur,Pipli Pahar,Odanwali,Residential,Off Road,26,15,,74238,Marla,780
24205,Depal Pur,Pipli Pahar,Odanwali,Residential,Off Road,26,16,,39219,Marla,780
24206,Depal Pur,Pipli Pahar,Odanwali,Residential,Off Road,29,14;17,,39219,Marla,780
24207,Depal Pur,Pipli Pahar,Odanwali,Residential,Off Road,15-Sep,16,,38587,Marla,780
24208,Depal Pur,Pipli Pahar,Odanwali,Residential,Off Road,14-Jan,19,,38587,Marla,780
24209,Depal Pur,Pipli Pahar,Odanwali,Residential,Off Road,14-Aug,20,,38587,Marla,780
24210,Depal Pur,Pipli Pahar,Odanwali,Residential,Off Road,15-37,23,,38587,Marla,780
24211,Depal Pur,Pipli Pahar,Odanwali,Residential,Off Road,14-37,24,,38587,Marla,780
24212,Depal Pur,Pipli Pahar,Odanwali,Residential,Off Road,14-16;18-37,25,,38587,Marla,780
24213,Depal Pur,Pipli Pahar,Odanwali,Residential,Off Road,Jan-37,3,,38587,Marla,780
